Application ID,mohela_clid,Application_date,Loan Amount,Closing_date,Schedule_funding_date,Stage,Loan_Type,Term,Rate Type,Undiscounted Rate,disbursement_1,disbursement_1_date,disbursement_2,disbursement_2_date,disbursement_3,disbursement_3_date,disbursement_4,disbursement_4_date
220314,220314,05/01/2019,207571,05/08/2019,05/08/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
220355,220355,05/01/2019,12120.72,05/09/2019,05/09/2019,Closed,Refi,7,Fixed,4.71,,,,,,,,
220377,220377,05/01/2019,192667.53,05/23/2019,05/23/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220380,220380,05/01/2019,44102.93,06/06/2019,06/06/2019,Closed,Refi,20,Fixed,5.92,,,,,,,,
220385,220385,05/01/2019,125651.96,05/14/2019,05/14/2019,Closed,Refi,15,Fixed,5.69,,,,,,,,
220425,220425,05/01/2019,45698.03,05/13/2019,05/13/2019,Closed,Refi,10,Fixed,4.58,,,,,,,,
220437,220437,05/01/2019,82224.71,05/08/2019,05/08/2019,Closed,Refi,20,Fixed,6.55,,,,,,,,
220445,220445,05/01/2019,58800.6,06/11/2019,06/11/2019,Closed,Refi,7,Fixed,4.8,,,,,,,,
220464,220464,05/01/2019,218342.91,07/15/2019,07/15/2019,Closed,Refi,5,Fixed,3.75,,,,,,,,
220460,220460,05/01/2019,25394.43,05/09/2019,05/09/2019,Closed,Refi,5,Fixed,4.96,,,,,,,,
220274P2,220274P2,05/01/2019,137426.55,06/12/2019,06/12/2019,Closed,Refi,15,Fixed,5.16,,,,,,,,
220193,220193,05/01/2019,69794.06,05/23/2019,05/23/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220198,220198,05/01/2019,195587.95,06/07/2019,06/07/2019,Closed,Refi,20,Fixed,5.92,,,,,,,,
220224,220224,05/01/2019,62851.46,05/13/2019,05/13/2019,Closed,Refi,15,Fixed,5.06,,,,,,,,
220270,220270,05/01/2019,69892.24,05/16/2019,05/16/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
220386,220386,05/01/2019,63140,05/09/2019,05/09/2019,Closed,Refi,5,Fixed,4.29,,,,,,,,
220423,220423,05/01/2019,72879,05/20/2019,05/20/2019,Closed,Refi,15,Variable,5.1,,,,,,,,
220213,220213,05/01/2019,75665.55,05/16/2019,05/16/2019,Closed,Refi,15,Fixed,5.27,,,,,,,,
220271P1,220271P1,05/01/2019,151793.01,05/09/2019,05/09/2019,Closed,Refi,5,Fixed,4.81,,,,,,,,
220318,220318,05/01/2019,61219.1,05/20/2019,05/20/2019,Closed,Refi,10,Fixed,6.31,,,,,,,,
220325,220325,05/01/2019,98699.62,05/24/2019,05/24/2019,Closed,Refi,5,Fixed,4.75,,,,,,,,
220360,220360,05/01/2019,113354.79,05/09/2019,05/09/2019,Closed,Refi,7,Fixed,4.29,,,,,,,,
